Level,Metric,Method,n,Signed error,|Error| mean,Std
Consistent,DD,FS mean,3000,-0.002,0.0763,0.1064
Consistent,DD,FS median,3000,-0.002,0.0763,0.1064
Consistent,DD,Tight midpoint,3000,-0.002,0.0762,0.1064
Consistent,DD,Kallus midpoint,3000,-0.004,0.1111,0.1415
Consistent,DI,FS mean,3000,-0.0054,0.2027,0.3754
Consistent,DI,FS median,3000,-0.0474,0.1998,0.3877
Low,DD,FS mean,6000,-0.0012,0.083,0.1132
Low,DD,FS median,6000,-0.0012,0.083,0.1132
Low,DD,Tight midpoint,6000,-0.0012,0.083,0.1132
Low,DI,FS mean,6000,-0.0159,0.219,0.4048
Low,DI,FS median,6000,-0.0577,0.2172,0.4192
Medium,DD,FS mean,6000,-0.0019,0.1084,0.1429
Medium,DD,FS median,6000,-0.0019,0.1084,0.1429
Medium,DD,Tight midpoint,6000,-0.0019,0.1083,0.1428
Medium,DI,FS mean,6000,-0.0217,0.282,0.4879
Medium,DI,FS median,6000,-0.0645,0.2778,0.4939
High,DD,FS mean,6000,-0.0011,0.1497,0.1969
High,DD,FS median,6000,-0.0011,0.1497,0.1969
High,DD,Tight midpoint,6000,-0.0009,0.1494,0.1964
High,DI,FS mean,6000,0.0126,0.4035,0.7547
High,DI,FS median,6000,-0.0237,0.3946,0.7317
All,DD,FS mean,21000,-0.0015,0.1083,0.149
All,DD,FS median,21000,-0.0015,0.1083,0.149
All,DD,Tight midpoint,21000,-0.0014,0.1082,0.1487
All,DD,Kallus midpoint,3000,-0.004,0.1111,0.1415
All,DI,FS mean,21000,-0.0079,0.2874,0.5458
All,DI,FS median,21000,-0.0485,0.2827,0.5428
